,kl,-2,-1,exp,1,2,obs
20,-6.0,0.19202153187955295,0.257789268569597,0.3577646886105461,0.5094571416911117,0.7185764294304479,0.3953682953394893
21,-5.8,0.20009375805937113,0.26862624743470137,0.37280444721130573,0.5309082638765574,0.7488902796988708,0.41222104149502464
22,-5.6,0.2086481862891114,0.28011058346092943,0.3887426199875441,0.5536340124897614,0.7809928484278076,0.43008589948134374
23,-5.4,0.2177603688391305,0.2923437057136751,0.4057199720618673,0.5778417927331813,0.815193248562173,0.44913760078125253
24,-5.2,0.22747700904910287,0.30538831351450174,0.42382351870601137,0.6036601448123845,0.8516742018041185,0.4695032080558443
25,-5.0,0.23780768092706836,0.31925725998725313,0.4430710977216624,0.6311095407543894,0.8904634131590123,0.4911465038033968
26,-4.8,0.2488871979636234,0.3341315324972208,0.4637138867033934,0.6605500920734756,0.9320707682812724,0.5143847753782091
27,-4.6,0.26067822120504264,0.34996100342863273,0.4856823176240055,0.6918877289462677,0.9763652896069999,0.539143267766488
28,-4.4,0.27338437966367984,0.36701904511447914,0.5093557816355415,0.725659821805989,1.024102122657276,0.5658578459408167
29,-4.2,0.28701824542647253,0.3853225356051757,0.5347577024068177,0.7619125055791633,1.0753482875604303,0.5945558516000183
30,-4.0,0.30168134368560284,0.40500777266263427,0.5620772364788308,0.8008908113102233,1.1304554216521674,0.6254704626461487
31,-3.8,0.31748545038310544,0.4262248156997692,0.5915226390649662,0.8429061831404153,1.189866662113791,0.6588333821364586
32,-3.6,0.33452387204030465,0.44909892889737085,0.623267754099392,0.8882096858489629,1.2539367897681966,0.694836858062915
33,-3.4,0.35294476290651056,0.4738290096144555,0.6575886149954026,0.9371962455331506,1.323232867742473,0.7338314173936138
34,-3.2,0.37288256112256885,0.5005955413085669,0.6947357000151296,0.9902214830259967,1.3982494749125705,0.776183872421486
35,-3.0,0.39444936818207227,0.5295490204462002,0.7349178709229568,1.0475757579030434,1.4793880686091336,0.8219896656741944
36,-2.8,0.41813857777377467,0.5613518289847103,0.7790543935829336,1.1106647617854835,1.5688502548246168,0.8723320254175351
37,-2.6,0.44374454012141673,0.5957278817117544,0.8267621118591517,1.1787963301165956,1.665307211587049,0.9268940448200709
38,-2.4,0.47175658589147607,0.6333341059696215,0.8789527216005417,1.2533556029595523,1.7709107490762728,0.9868056626477345
39,-2.2,0.5022695040740923,0.6742977561562816,0.9358028288012812,1.3345754510347285,1.8859505824008127,1.0522040290476917
40,-2.0,0.536838307857732,0.7207064404089424,1.000209654432953,1.4267200135256701,2.016845367082128,1.1262545575359566
41,-1.8,0.573768777351268,0.7702856653296253,1.069016614721572,1.5250374631403294,2.1561234668209006,1.205842627762427
42,-1.6,0.6144552426864446,0.8249073217489504,1.1448215541928066,1.6333988663327397,2.309716063575458,1.29381199838214
43,-1.4,0.6594740907891062,0.8853452102015356,1.2286983674616276,1.7533309250055074,2.479797454277678,1.391525823376851
44,-1.2,0.7097725386078071,0.952870971226618,1.3224118606585198,1.8875546402872432,2.6706321368544406,1.50112654834346
45,-1.0,0.765148965704433,1.027213929005911,1.4255863849041448,2.035154967564016,2.8800778642860303,1.6221654336499611
46,-0.8,0.8269032312928476,1.1101191469846725,1.5406437713459444,2.199825341322016,3.1138841217169024,1.757511665416901
47,-0.6,0.8954543335334791,1.2021491309832213,1.668364675907902,2.3827206100663028,3.373659340623469,1.9096747555391502
48,-0.4,0.9722597550332498,1.3052605541491655,1.81146460557466,2.587730532988219,3.665128471011132,2.07942572071406
49,-0.2,1.058666172178074,1.4212613320695069,1.9724526188520541,2.8183198519628676,3.9929003978351743,2.2720736131534136
50,0.0,1.1564558061233146,1.5525441000053692,2.154649258964806,3.0804466722581494,4.366262283741853,2.491091449012014
51,0.2,1.267407703353095,1.7014972312157544,2.3613691542526976,3.3768187536488043,4.788219844174291,2.74113533002035
52,0.4,1.3923899417422392,1.869286121884214,2.5942296629751707,3.7108193567290155,5.2639664681267355,3.019940315458361
53,0.6,1.5338210994409942,2.05915771773724,2.8577369561346835,4.08905174292213,5.802835952552533,3.3425009955309966
54,0.8,1.695735063423283,2.2765275196424755,3.159406765446266,4.522101869964499,6.420515117967448,3.7149482529214675
55,1.0,1.8666874528922062,2.5060314248038074,3.4779165064472997,4.963367703910898,7.003856667299194,4.109624846506427
56,1.2,2.0803203792253804,2.792834031171702,3.875946438915963,5.552196566651919,7.8910390941895905,4.609591986107557
57,1.4,2.3141689949026403,3.1067762385969973,4.311641208928839,6.178604048489824,8.785968349412158,5.162352424606534
58,1.6,2.569696611512698,3.4498225456463447,4.787727183731058,6.864139911903282,9.767548754743967,5.775281169817038
59,1.8,2.852248206173417,3.8291485941774472,5.314162851079098,7.621898224581716,10.851644218561527,6.455921058550837
60,2.0,3.1510518571421504,4.230293058942324,5.870878517797027,8.423675219202412,11.999806206123413,7.188412047079231
61,2.2,3.4696621999830173,4.658028044887415,6.464496998906018,9.279231078312671,13.226546788457439,7.974265705469696
62,2.4,3.797784943797761,5.09853344707382,7.075838498569474,10.162126013869367,14.496408811838982,8.787040572223102
63,2.6,4.129145584436898,5.543385731851433,7.693212681848111,11.053980650851805,15.782551263256696,9.601089744374242
64,2.8,4.453329546005745,5.978603311446871,8.29721564405738,11.917396514406292,17.029199010221888,10.388811801259145
65,3.0,4.750879876393736,6.378065190969195,8.851596188026784,12.720498403269527,18.191655480485434,11.092982523608846
